NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2010;33;RJ;3303302;Niterói;33155216;COLEGIO PEDRO II UNIDADE ESCOLAR DESCENTRALIZADA DE NITEROI;1;1;180;;175;97.20;622.31;669.19;617.42;705.32;713.29;;;;;;95.40;4.60;0.00;Maior que 90 alunos
2014;33;RJ;3303302;Niterói;33155216;COLEGIO PEDRO II - CAMPUS NITEROI;1;1;184;2;174;94.57;631.84;654.63;592.95;697.24;744.71;;;;96.00;89.66;95.40;4.40;0.20;Maior que 90 alunos
2011;33;RJ;3303302;Niterói;33155216;COLEGIO PEDRO II UNIDADE ESCOLAR DESCENTRALIZADA DE NITEROI;1;1;119;;97;81.51;639.55;608.59;623.58;749.75;704.33;;;;;;;;;Maior que 90 alunos
2013;33;RJ;3303302;Niterói;33155216;COLEGIO PEDRO II - CAMPUS NITEROI;1;1;193;3;188;97.41;619.1;653.1;596.8;689.4;723.51;;;;86.40;;96.30;3.50;0.20;Maior que 90 alunos
2015;33;RJ;3303302;Niterói;33155216;CPII - CAMPUS NITEROI;1;1;200;0;196;98.00;620.26;670.89;606.12;691.53;776.33;;;Grupo 5;96.20;94.90;92.60;5.80;1.60;Maior que 90 alunos
2009;33;RJ;3303302;Niterói;33155216;COLEGIO PEDRO II UNIDADE ESCOLAR DESCENTRALIZADA DE NITEROI;1;1;169;;162;95.90;647.36;658.21;641.38;656.03;699.07;;;;;;93.40;6.60;0.00;Maior que 90 alunos
2012;33;RJ;3303302;Niterói;33155216;COLEGIO PEDRO II UNIDADE ESCOLAR DESCENTRALIZADA DE NITEROI;1;1;178;;177;99.44;623.69;648.77;583.9;726.2;730.40;;;;;;94.20;5.40;0.40;Maior que 90 alunos
2011;33;RJ;3303302;Niterói;33155259;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;4;1;73;;62;84.93;556.2;561.03;589.66;654.13;689.68;;;;;;;;;De 61 a 90 alunos
2012;33;RJ;3303302;Niterói;33155259;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;4;1;68;;66;97.06;597.72;631.61;583.82;658.8;689.69;;;;;;91.50;8.50;0.00;De 61 a 90 alunos
2009;33;RJ;3303302;Niterói;33155259;COLEGIO SALESIANO REGIAO OCEANICA;4;1;84;;65;58.40;589.88;607.7;594.95;590.14;607.42;;;;;;89.90;10.10;0.00;De 61 a 90 alunos
2010;33;RJ;3303302;Niterói;33155259;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;4;1;44;;43;54.10;589.75;645.27;598.24;648.64;704.07;;;;;;87.70;12.30;0.00;De 31 a 60 alunos
2013;33;RJ;3303302;Niterói;33155259;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;4;1;79;0;75;94.94;584.98;630.46;579.28;636.72;701.60;;;;52.80;;95.50;4.00;0.50;De 61 a 90 alunos
2014;33;RJ;3303302;Niterói;33155259;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;4;1;90;0;87;96.67;568.59;625.25;575.96;611.42;736.78;;;;51.40;1.15;92.10;7.90;0.00;De 61 a 90 alunos
2015;33;RJ;3303302;Niterói;33155259;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;4;1;60;0;58;96.67;561.65;632.63;573.67;585.28;745.17;;;Grupo 6;61.50;77.59;93.00;7.00;0.00;De 31 a 60 alunos
2010;33;RJ;3303302;Niterói;33158290;VOLTAIRE COLEGIO E VESTIBULARES;4;1;34;;25;73.50;556.57;614;571.47;581.88;654.17;;;;;;78.00;20.30;1.70;De 31 a 60 alunos
2011;33;RJ;3303302;Niterói;33158290;VOLTAIRE COLEGIO E VESTIBULARES;4;1;26;;16;61.54;515.08;528.18;569.56;576.14;622.50;;;;;;;;;De 1 a 30 alunos
2009;33;RJ;3303302;Niterói;33158290;VOLTAIRE COLEGIO E VESTIBULARES;4;1;20;;23;100.00;548.06;574.65;592.03;575.43;647.83;;;;;;73.90;23.90;2.20;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33158290;VOLTAIRE COLEGIO E VESTIBULARES;4;1;28;0;27;96.43;484.84;580.1;518.77;454.53;603.70;;;Grupo 5;47.20;22.22;62.70;35.60;1.70;De 1 a 30 alunos
2013;33;RJ;3303302;Niterói;33158290;VOLTAIRE COLEGIO E VESTIBULARES;4;1;35;0;32;91.43;489.29;547.77;525.5;554.87;591.88;;;;59.50;;55.40;44.60;0.00;De 31 a 60 alunos
2014;33;RJ;3303302;Niterói;33158290;VOLTAIRE COLEGIO E VESTIBULARES;4;1;44;1;43;97.73;508.88;575.55;544.05;478.03;559.23;;;;58.10;18.60;57.70;41.00;1.30;De 31 a 60 alunos
2015;33;RJ;3303302;Niterói;33160163;GERACAO FORUM CULTURAL LTDA;4;1;25;3;22;88.00;555.15;634.49;571.14;630.24;746.14;;;Grupo 6;79.50;90.91;96.90;3.10;0.00;De 1 a 30 alunos
2011;33;RJ;3303302;Niterói;33161194;SISTEMA ELITE DE ENSINO;4;1;16;;11;68.75;523.49;540.22;572.85;578.77;609.09;;;;;;100.00;0.00;0.00;De 1 a 30 alunos
2013;33;RJ;3303302;Niterói;33161194;SISTEMA ELITE DE ENSINO;4;1;49;0;43;87.76;525.86;570.91;532.49;599.8;603.65;;;;100.00;;95.20;4.80;0.00;De 31 a 60 alunos
